user_id,age,default_flag,more_90_days_overdue,debt_ratio_limpio,last_month_salary_mediana,loan_other_final,loan_real_final,total_loan_limpia
1,55,0,0,0.15,2200,3,0,3
2,44,0,0,0.15,7499,19,1,20
3,54,0,0,0.35,5900,14,1,15
4,54,0,0,0.07,2167,3,0,3
5,42,0,0,0.35,10415,6,2,8
6,63,0,0,0.0,4368,2,0,2
7,76,0,0,0.26,1700,4,0,4
8,55,0,1,0.41,15658,11,3,14
9,41,0,0,0.21,8441,3,3,6
10,49,0,0,11.42,200,5,2,7
11,56,0,0,0.59,6400,3,2,5
12,77,0,0,859.0,4167,16,1,17
13,66,0,0,0.0,2150,2,0,2
14,41,0,1,0.06,10749,9,0,9
15,64,0,0,1.65,7083,14,5,19
16,69,0,0,0.4,5188,5,2,7
17,79,0,0,0.08,10500,22,0,22
18,73,0,0,0.28,3922,7,1,8
19,51,0,0,2610.0,6495,5,3,8
20,42,0,0,1546.0,5500,13,0,13
21,65,0,0,0.01,5000,5,0,5
22,75,0,0,1477.0,0,5,1,6
23,41,0,5,1365.0,5757,1,1,2
24,53,0,0,0.41,9939,11,1,12
25,59,0,0,0.24,7930,4,1,5
26,55,0,0,0.3,5562,10,1,11
27,76,0,0,0.04,2500,14,1,15
28,56,0,0,0.89,2835,9,2,11
29,43,0,1,0.49,5833,7,1,8
30,31,0,0,0.53,8160,5,2,7
31,74,0,0,2835.0,5000,5,3,8
32,67,0,0,0.08,6862,6,1,7
33,63,0,0,4945.0,6250,8,1,9
34,62,0,0,1565.0,6163,3,1,4
35,57,0,0,1243.0,6275,5,1,6
36,72,0,0,1221.0,4581,7,1,8
37,69,0,0,6.0,5083,4,0,4
38,67,0,0,0.08,4453,8,0,8
39,50,0,0,2104.0,6666,3,1,4
40,49,0,0,0.13,5866,2,1,3
41,62,0,0,0.82,6500,13,3,16
42,34,0,0,0.09,5800,4,0,4
43,59,0,0,0.22,5416,5,1,6
44,46,0,0,0.11,3732,4,0,4
45,54,0,0,1634.0,6446,10,1,11
46,73,0,0,56.0,4750,11,0,11
47,49,0,0,0.3,8900,6,2,8
48,53,0,0,0.14,4166,16,0,16
49,83,0,0,0.18,4694,7,1,8
50,34,0,0,2.53,1000,6,2,8
51,65,0,0,0.02,3750,3,0,3
52,72,0,0,0.27,5866,15,2,17
53,84,0,0,0.0,3001,5,0,5
54,71,0,0,0.31,6000,11,0,11
55,56,0,0,0.04,12000,3,1,4
56,41,0,0,0.0,5757,0,0,0
57,45,0,0,5338.0,6043,6,1,7
58,65,0,0,1795.0,6050,8,1,9
59,57,0,0,0.0,6275,0,0,0
60,50,0,0,0.03,5000,15,0,15
61,49,0,0,0.88,6600,10,5,15
62,88,0,0,36.0,4000,3,0,3
63,79,0,0,0.26,4273,6,0,6
64,48,0,0,0.54,15000,7,5,12
65,37,0,0,0.03,6232,3,0,3
66,59,0,0,0.53,3213,16,1,17
67,55,0,0,0.24,10916,7,2,9
68,47,0,0,0.34,5560,10,0,10
69,23,0,0,1092.0,1160,7,0,7
70,56,0,0,0.4,6860,5,1,6
71,54,0,0,1267.0,0,6,1,7
72,69,0,0,0.01,3668,5,0,5
73,52,0,0,0.0,5115,4,0,4
74,76,0,0,0.15,5000,5,1,6
75,46,0,0,0.38,12040,11,2,13
76,76,0,0,0.83,2714,20,1,21
77,70,0,0,0.19,7500,11,1,12
78,67,0,0,2247.0,5829,3,1,4
79,56,0,0,0.38,5583,11,2,13
80,37,0,0,44.0,5000,3,0,3
81,51,0,0,0.41,11000,5,3,8
82,43,0,0,2.35,1333,3,1,4
83,79,0,0,0.23,2600,15,0,15
84,43,0,0,0.41,4000,4,1,5
85,45,0,0,0.17,5666,7,1,8
86,38,0,0,0.28,4583,9,0,9
87,28,0,0,0.08,5500,4,0,4
88,44,0,2,0.02,51140,6,1,7
89,43,0,0,0.21,9166,6,1,7
90,58,0,0,1207.0,6518,8,0,8
91,80,0,0,0.0,6500,5,0,5
92,25,0,0,0.0,5000,2,0,2
93,40,0,0,424.0,5683,3,0,3
94,52,0,0,0.16,3000,2,0,2
95,27,0,0,0.13,2800,9,0,9
96,28,0,1,0.16,3500,5,0,5
97,59,0,0,0.25,8110,8,1,9
98,45,0,0,0.79,5600,9,2,11
99,23,0,0,0.09,2200,3,0,3
100,62,0,0,2578.0,6163,18,1,19
101,45,0,0,0.0,5200,1,0,1
102,90,0,0,0.08,7083,9,0,9
103,64,0,0,739.0,6000,4,0,4
104,43,0,0,0.2,5708,2,1,3
105,51,0,0,0.0,13455,10,0,10
106,63,0,0,14.0,6250,5,0,5
107,37,0,0,0.3,12996,8,1,9
108,83,0,0,0.38,2000,10,0,10
109,63,0,0,1704.0,6250,7,2,9
110,89,0,0,0.0,3400,4,0,4
111,50,0,0,0.5,15000,5,4,9
112,40,0,0,0.39,5600,4,1,5
113,50,0,0,0.15,4667,4,1,5
114,49,0,0,0.12,4000,4,1,5
115,63,0,0,0.02,2500,11,0,11
116,47,0,0,2130.0,6193,3,1,4
117,45,0,0,0.37,10483,14,3,17
118,62,0,0,0.0,6163,4,0,4
119,63,0,0,0.15,9500,3,1,4
120,39,1,98,0.0,5473,0,0,0
121,54,0,0,0.67,3600,10,1,11
122,64,0,0,0.0,32000,3,0,3
123,43,0,0,0.13,8804,13,0,13
124,45,0,0,1986.0,6043,14,3,17
125,43,0,0,197.0,6000,2,0,2
126,43,0,0,0.48,8500,5,2,7
127,53,0,0,0.27,9100,5,1,6
128,38,0,0,0.38,12800,7,4,11
129,57,0,0,0.41,6667,14,1,15
130,31,0,0,218.0,4000,7,0,7
131,35,0,0,1782.0,5166,1,2,3
132,56,0,0,1625.0,6133,5,1,6
133,52,0,0,0.4,4500,10,1,11
134,39,0,0,0.13,2608,5,0,5
135,109,0,0,318.0,,3,0,3
136,50,0,0,0.58,7000,8,4,12
137,46,0,0,0.08,10000,2,0,2
138,54,0,0,0.6,3800,4,1,5
139,43,0,0,1247.0,6000,1,0,1
140,37,0,0,0.45,6833,3,2,5
141,64,0,0,0.04,30452,2,0,2
142,49,0,0,0.3,4320,8,1,9
143,40,0,0,0.26,5000,8,1,9
144,54,0,0,1514.0,6446,6,1,7
145,69,0,0,0.19,6477,10,1,11
146,80,0,0,17.0,4640,7,0,7
147,54,0,0,0.32,4930,7,1,8
148,44,0,0,0.37,3666,7,2,9
149,78,0,0,0.0,4349,6,0,6
150,39,0,0,0.19,8452,10,3,13
151,59,0,0,0.22,15000,15,1,16
152,45,0,1,0.08,2383,3,0,3
153,49,0,0,0.29,8400,4,2,6
154,45,0,0,0.37,4300,7,1,8
155,44,0,0,0.9,1000,4,1,5
156,42,0,0,0.3,2000,4,1,5
157,68,0,0,0.0,10000,8,0,8
158,62,0,0,0.95,1500,8,2,10
159,32,0,0,0.06,10630,9,0,9
160,63,0,0,3511.0,6250,10,2,12
161,25,0,0,0.01,4166,2,0,2
162,33,0,0,0.28,2716,7,0,7
163,57,0,0,0.05,9166,3,0,3
164,62,0,0,0.12,17750,17,1,18
165,59,0,0,0.3,10300,6,1,7
166,64,0,0,2148.0,6000,5,1,6
167,39,0,0,0.07,5916,4,0,4
168,56,0,1,0.25,2720,10,0,10
169,79,0,0,0.0,4474,0,0,0
170,40,0,0,0.01,1600,4,0,4
171,59,0,0,0.67,7000,15,1,16
172,50,0,0,0.46,5596,6,1,7
173,60,0,0,0.55,8136,9,2,11
174,51,1,1,0.14,24020,11,2,13
175,51,0,0,0.04,10728,11,0,11
176,72,0,0,0.15,4083,2,1,3
177,46,0,0,0.44,3700,6,0,6
178,63,0,0,1130.0,6250,16,1,17
179,42,0,0,0.21,18000,7,2,9
180,66,0,0,0.15,8000,25,0,25
181,73,0,0,0.03,26500,10,1,11
182,51,0,0,454.0,6495,5,1,6
183,82,0,0,0.68,2607,10,1,11
184,46,0,0,0.0,2000,1,0,1
185,37,0,0,0.74,6777,12,2,14
186,55,0,0,2686.0,6625,5,2,7
187,63,0,0,533.0,6250,4,1,5
188,63,0,0,0.18,4153,6,0,6
189,33,0,0,0.55,3333,4,1,5
190,47,0,0,0.38,9000,4,1,5
191,54,0,0,803.0,6446,15,0,15
192,82,0,0,0.02,9049,6,0,6
193,37,0,0,0.45,5417,13,2,15
194,52,0,0,2690.0,6200,12,2,14
195,52,0,1,1775.0,6200,9,0,9
196,53,0,0,0.11,5822,13,0,13
197,41,0,0,0.17,8350,10,1,11
198,42,0,0,0.55,7000,8,2,10
199,53,0,0,0.13,6300,5,1,6
200,40,0,0,0.23,3600,7,0,7
201,47,0,0,0.31,5200,5,1,6
202,44,0,0,0.12,8500,4,0,4
203,35,0,1,0.11,10000,3,1,4
204,34,0,1,0.18,4810,8,0,8
205,80,0,0,0.0,4640,3,0,3
206,61,0,0,965.0,6209,4,1,5
207,54,0,0,1725.0,6446,5,1,6
208,47,0,0,0.0,6193,0,0,0
209,67,0,0,1449.0,5829,6,1,7
210,64,0,0,0.32,4272,9,1,10
211,71,0,0,0.06,5116,7,0,7
212,56,0,0,0.01,7000,10,0,10
213,66,0,0,0.43,887,6,0,6
214,76,0,0,828.0,4169,3,0,3
215,50,0,0,272.0,6666,8,0,8
216,29,0,0,0.14,3975,5,0,5
217,48,0,0,0.59,6000,10,1,11
218,25,0,0,17.0,2250,4,0,4
219,34,0,0,0.12,1800,8,0,8
220,40,0,0,0.58,3750,9,0,9
